sequence,ax,ay,az,gx,gy,gz
0,2458,-409,-117,1053,-470,4163
1,2555,-334,-132,1041,-253,4168
2,2543,-375,-143,900,4,3666
3,2540,-685,-153,672,208,3671
4,2559,-1113,-200,539,252,4777
5,2614,-1181,-185,515,154,5066
6,2502,-1010,-111,374,105,3586
7,2412,-1193,-72,105,200,2899
8,2440,-1692,-70,-9,322,4138
9,2414,-1750,-56,96,418,4624
10,2316,-1355,11,78,473,3638
11,2297,-1354,59,-252,542,2935
12,2336,-1883,56,-580,666,3262
13,2330,-2257,89,-580,783,3584
14,2290,-2079,189,-428,804,3065
15,2242,-1761,319,-439,763,2073
16,2203,-1707,467,-586,730,1602
17,2163,-1853,597,-646,694,1484
18,2157,-1964,771,-540,577,1310
19,2246,-1994,936,-341,322,1154
20,2378,-2070,995,-54,-28,656
21,2440,-1971,915,189,-362,-501
22,2505,-1934,731,317,-609,-1461
23,2608,-1894,573,378,-719,-1943
24,2706,-1824,433,406,-723,-2245
25,2805,-1680,341,398,-659,-2647
26,2873,-1657,284,326,-535,-3009
27,2884,-1813,219,225,-360,-3334
28,2829,-1952,146,230,-191,-3548
29,2742,-1825,109,297,-72,-3678
30,2655,-1602,96,286,-4,-3808
31,2575,-1454,77,216,37,-3803
32,2494,-1361,48,168,55,-3814
33,2456,-1221,23,163,51,-3804
34,2402,-991,30,130,60,-3868
35,2335,-804,25,11,85,-4080
36,2256,-616,28,-134,142,-4124
37,2182,-529,34,-275,284,-4112
38,2041,-549,20,-357,479,-4017
39,1906,-534,19,-354,624,-3816
40,1840,-416,26,-318,730,-3582
41,1680,-286,37,-319,839,-3569
42,1398,-185,73,-357,853,-3663
43,1236,-42,104,-375,720,-3555
44,1140,76,127,-376,550,-3393
45,1016,143,163,-368,396,-3369
46,829,249,193,-302,232,-3338
47,673,453,245,-213,53,-3245
48,489,621,295,-150,-128,-3010
49,277,740,341,-69,-313,-2849
50,100,925,386,38,-511,-2678
51,9,1164,460,112,-670,-2464
52,-167,1398,586,91,-711,-2400
53,-455,1585,697,-22,-650,-2409
54,-717,1590,785,-168,-513,-2164
55,-936,1458,871,-271,-278,-1795
56,-1140,1382,934,-316,56,-1489
57,-1309,1340,932,-366,405,-1124
58,-1409,1179,862,-391,684,-411
59,-1389,952,748,-255,830,748
60,-1260,920,647,8,802,1642
61,-1120,1041,556,201,597,1966
62,-975,1130,477,234,257,2112
63,-747,1072,401,170,-145,2411
64,-418,894,332,107,-534,2704
65,-82,709,276,103,-847,2739
66,206,565,246,183,-1046,2767
67,495,471,220,338,-1145,3098
68,835,446,193,493,-1177,3303
69,1131,370,171,592,-1150,3319
70,1423,261,130,698,-1046,3408
71,1667,290,84,834,-893,3503
72,1829,318,49,891,-711,3399
73,2027,220,-9,894,-485,3604
74,2221,162,-47,911,-236,4048
75,2172,245,-41,867,-36,3650
76,2087,188,-35,698,89,3084
77,2103,-119,-51,535,195,3708
78,2300,-489,-61,516,232,4712
79,2329,-491,-49,549,213,4072
80,2057,-229,-12,413,187,2626
81,1856,-348,-8,103,179,2633
82,1957,-1032,-45,-121,163,3995
83,2207,-1638,-72,-94,48,5106
84,2340,-1712,-59,78,-187,4340
85,2428,-1514,-25,97,-381,2647
86,2538,-1823,-96,-21,-408,2502
87,2588,-2179,-219,34,-372,3430
88,2530,-1923,-241,263,-359,3233
89,2505,-1362,-156,293,-305,2237
90,2545,-1208,-75,32,-139,1843
91,2592,-1407,-21,-275,112,2011
92,2615,-1621,43,-416,372,2045
93,2560,-1686,131,-405,575,1754
94,2474,-1725,199,-359,677,1309
95,2376,-1660,276,-298,651,790
96,2274,-1510,382,-260,529,179
97,2215,-1510,440,-270,367,-290
98,2229,-1663,435,-227,182,-494
99,2289,-1776,390,-84,-12,-732
100,2369,-1725,342,94,-176,-1175
101,2436,-1652,291,185,-283,-1650
102,2513,-1668,192,189,-333,-1954
103,2560,-1671,96,191,-351,-2196
104,2606,-1661,32,209,-340,-2518
105,2658,-1694,-34,253,-282,-2760
106,2692,-1658,-69,349,-169,-2743
107,2645,-1494,-64,441,-31,-2645
108,2525,-1282,-81,421,69,-2718
109,2409,-1095,-100,253,88,-2880
110,2340,-1105,-146,15,26,-3082
111,2264,-1106,-184,-153,-85,-3327
112,2229,-1019,-190,-232,-209,-3443
113,2246,-758,-180,-287,-272,-3519
114,2207,-449,-141,-428,-216,-3695
115,2136,-379,-115,-643,-78,-3783
116,2074,-423,-106,-768,102,-3697
117,1994,-340,-74,-776,323,-3541
118,1880,-184,-48,-762,564,-3416
119,1764,-17,-34,-789,776,-3254
120,1590,24,-3,-862,917,-3223
121,1428,-39,10,-888,941,-3299
122,1385,-35,25,-789,884,-3119
123,1294,68,70,-603,809,-2955
124,1050,395,160,-427,666,-3201
125,795,721,239,-371,415,-3302
126,570,859,306,-387,97,-3171
127,383,1015,386,-385,-223,-3302
128,238,1151,446,-383,-501,-3319
129,86,1206,494,-384,-684,-3234
130,-104,1265,539,-360,-746,-3108
131,-282,1357,619,-355,-673,-2773
132,-516,1399,755,-426,-443,-2364
133,-782,1275,869,-536,-82,-1768
134,-1000,1065,898,-574,319,-903
135,-1110,946,871,-498,662,-168
136,-1157,960,833,-383,887,314
137,-1164,947,753,-266,979,900
138,-1115,927,661,-115,927,1659
139,-1009,972,586,32,722,2163
