sequence,ax,ay,az,gx,gy,gz
0,-2759,-37,568,291,-679,2106
1,-2593,28,558,314,-709,2126
2,-2422,98,540,351,-705,2027
3,-2236,165,507,389,-695,1917
4,-1970,201,520,402,-686,1919
5,-1792,203,509,392,-658,1954
6,-1683,199,460,365,-610,2034
7,-1526,176,437,323,-565,2060
8,-1322,113,415,267,-530,1981
9,-1129,4,367,190,-495,1900
10,-906,-79,321,97,-442,1802
11,-687,-102,320,13,-362,1445
12,-604,-92,296,-44,-283,959
13,-581,-70,241,-71,-286,715
14,-467,-7,217,-70,-387,650
15,-291,74,206,-57,-516,515
16,-104,146,203,-58,-598,296
17,28,169,183,-80,-601,44
18,102,189,154,-114,-518,-187
19,139,216,117,-157,-353,-389
20,130,212,112,-206,-132,-577
21,51,182,111,-253,111,-761
22,-111,117,115,-290,348,-954
23,-313,40,120,-303,566,-1141
24,-604,-15,111,-282,746,-1312
25,-927,-31,99,-239,861,-1425
26,-1154,-69,137,-212,902,-1467
27,-1334,-111,194,-195,895,-1478
28,-1610,-112,239,-179,890,-1648
29,-1894,-83,316,-176,884,-1971
30,-2128,-15,382,-212,838,-2257
31,-2357,72,414,-309,755,-2375
32,-2505,144,520,-455,652,-2403
33,-2673,204,633,-628,535,-2470
34,-2828,235,718,-834,414,-2558
35,-2864,155,797,-1039,334,-2636
36,-2841,6,885,-1180,329,-2640
37,-2897,-118,955,-1210,409,-2583
38,-2974,-167,1050,-1136,545,-2588
39,-3083,-241,1126,-980,695,-2666
40,-3219,-373,1140,-765,828,-2430
41,-3295,-477,1110,-482,923,-1924
42,-3377,-515,1049,-130,970,-1665
43,-3390,-490,987,241,961,-1665
44,-3329,-384,898,573,893,-1610
45,-3214,-303,783,827,788,-1381
46,-3097,-294,682,980,683,-989
47,-3024,-240,598,1034,595,-657
48,-2936,-63,524,1009,503,-753
49,-2784,88,519,904,405,-1126
50,-2698,191,525,727,311,-1203
51,-2768,287,491,536,211,-970
52,-2888,377,439,397,95,-811
53,-3011,509,398,310,-56,-725
54,-3070,729,347,226,-233,-616
55,-2981,928,352,131,-365,-588
56,-2830,1017,388,37,-378,-522
57,-2771,1015,416,-47,-272,-214
58,-2795,929,412,-135,-117,330
59,-2898,801,372,-241,-14,924
60,-2970,662,378,-369,1,1264
61,-3056,478,430,-501,-55,1319
62,-3174,311,458,-596,-129,1338
63,-3289,160,496,-610,-180,1353
64,-3366,28,547,-539,-226,1453
65,-3424,-95,599,-429,-275,1685
66,-3489,-241,623,-302,-320,1997
67,-3549,-330,585,-160,-381,2283
68,-3516,-375,572,-23,-470,2367
69,-3398,-385,590,96,-555,2298
70,-3282,-326,596,186,-604,2209
71,-3127,-280,621,243,-622,2164
72,-2992,-255,617,280,-619,2211
73,-2894,-224,607,314,-596,2328
74,-2849,-170,595,344,-574,2343
75,-2774,-101,579,359,-566,2220
76,-2601,-49,600,363,-567,2057
77,-2467,-6,611,367,-552,2014
78,-2370,33,600,381,-528,2067
79,-2251,67,620,402,-509,2041
80,-2175,104,613,426,-483,2002
81,-2083,142,590,443,-460,2093
82,-1922,143,590,443,-453,2095
83,-1807,117,546,429,-457,2010
84,-1628,86,521,395,-468,2001
85,-1457,116,486,363,-480,1871
86,-1306,202,423,349,-499,1566
87,-1056,260,446,327,-497,1265
88,-885,298,468,300,-441,1113
89,-814,330,435,287,-375,1138
90,-735,336,394,285,-358,1206
