sequence,ax,ay,az,gx,gy,gz
0,993,2920,-791,484,204,-4
1,908,2753,-724,403,290,-42
2,741,2488,-665,377,332,-57
3,606,2284,-591,428,295,33
4,572,2269,-488,503,192,189
5,611,2296,-453,500,66,220
6,717,2298,-466,442,-41,157
7,835,2251,-473,360,-76,187
8,871,2198,-402,257,-25,297
9,812,2114,-284,126,45,311
10,726,1946,-221,4,77,181
11,691,1759,-252,7,57,214
12,767,1725,-268,121,47,455
13,865,1818,-243,168,115,556
14,893,1877,-218,63,257,335
15,820,1725,-213,-125,410,150
16,691,1413,-224,-223,501,159
17,573,1217,-204,-153,530,117
18,483,1197,-184,-41,540,53
19,442,1256,-148,18,533,129
20,408,1242,-144,-9,514,196
21,356,1240,-193,-71,489,80
22,273,1232,-239,-137,439,46
23,216,1182,-269,-215,341,96
24,229,1099,-271,-286,211,29
25,238,995,-221,-337,120,-120
26,211,870,-184,-350,92,-224
27,143,754,-172,-261,65,-181
28,95,714,-191,-91,14,-136
29,96,790,-260,94,-36,-212
30,105,907,-300,244,-60,-212
31,89,989,-319,325,-63,-18
32,40,993,-365,371,-97,128
33,19,1022,-498,450,-204,168
34,132,1206,-635,556,-394,253
35,322,1512,-543,521,-558,210
36,341,1580,-323,191,-560,-107
37,135,1127,-362,-211,-508,-415
38,8,681,-515,-193,-640,-349
39,204,803,-493,177,-868,-98
40,454,1191,-428,417,-932,-105
41,547,1386,-452,390,-798,-248
42,555,1414,-467,292,-609,-125
43,588,1411,-405,232,-437,21
44,573,1290,-454,204,-258,-18
45,567,1296,-592,302,-116,-76
46,700,1626,-685,469,-35,-30
47,865,2021,-703,487,58,73
48,917,2259,-619,291,203,57
49,874,2235,-594,-3,355,-86
50,792,2169,-585,-225,460,-323
51,677,2130,-555,-343,482,-521
52,574,2122,-493,-428,438,-571
53,521,2189,-398,-516,387,-413
54,502,2252,-311,-573,321,-201
55,480,2181,-308,-596,239,-187
56,474,2095,-379,-562,153,-115
57,599,2216,-430,-453,55,114
58,844,2517,-472,-360,-18,237
59,1028,2791,-522,-417,-8,243
60,1034,2812,-616,-602,67,171
61,948,2669,-730,-728,110,73
62,890,2654,-832,-695,77,62
