sequence,ax,ay,az,gx,gy,gz
0,-118,235,222,215,461,-725
1,-243,270,243,192,553,-1054
2,-406,277,271,154,660,-1331
3,-740,323,253,134,774,-1588
4,-1064,410,242,100,836,-1766
5,-1244,447,345,32,810,-1892
6,-1501,444,443,-19,756,-2142
7,-1841,475,492,-43,733,-2441
8,-1956,556,617,-95,723,-2511
9,-2029,574,737,-165,720,-2517
10,-2317,561,718,-202,763,-2440
11,-2579,576,679,-178,814,-2375
12,-2705,560,697,-135,798,-2354
13,-2721,500,730,-125,670,-2196
14,-2715,488,727,-102,551,-2228
15,-2901,548,652,-32,572,-2541
16,-2919,660,651,24,635,-2531
17,-2844,617,692,32,635,-2223
18,-2928,513,635,31,632,-1885
19,-3074,492,539,68,679,-1936
20,-3158,554,497,92,709,-2108
21,-2983,548,570,38,616,-1948
22,-2892,438,614,-45,490,-1710
23,-3037,384,537,-49,488,-1723
24,-3154,460,478,30,558,-1846
25,-3116,484,481,92,563,-1635
26,-3026,353,503,68,439,-1087
27,-3014,277,464,21,276,-914
28,-2964,363,430,8,182,-1473
29,-2914,488,441,-27,167,-1852
30,-2846,521,443,-151,142,-1399
31,-2718,338,465,-347,55,-752
32,-2699,208,460,-517,-41,-623
33,-2730,270,455,-529,-106,-1425
34,-2709,389,518,-431,-111,-1911
35,-2639,505,617,-290,-54,-1337
36,-2571,594,682,-61,48,-757
37,-2558,710,707,251,181,-695
38,-2688,859,684,543,308,-546
39,-2901,935,540,710,293,290
40,-2974,933,414,755,83,1364
41,-2850,954,344,698,-187,1776
42,-2669,997,314,501,-333,1520
43,-2647,1052,312,206,-273,1218
44,-2808,1061,294,-134,-118,1238
45,-2986,942,267,-481,-24,1480
46,-3178,737,230,-763,-38,1597
47,-3336,542,229,-927,-124,1515
48,-3395,367,287,-955,-257,1388
49,-3363,221,333,-864,-428,1534
50,-3268,125,353,-686,-566,1819
51,-3157,92,376,-443,-613,1976
52,-3021,99,427,-189,-594,2088
53,-2808,132,525,19,-535,2241
54,-2686,176,603,222,-417,2238
55,-2817,260,560,465,-238,2356
56,-2900,395,546,699,-62,2718
57,-2918,489,557,851,25,2993
58,-2906,540,564,892,4,3094
59,-2881,632,539,873,-39,2831
60,-2914,780,494,823,-69,2425
61,-2848,925,441,711,-174,2354
62,-2609,1020,435,521,-344,2453
63,-2374,1079,397,278,-492,2424
64,-2181,1115,347,14,-574,2278
65,-2010,1155,333,-257,-607,2019
66,-1813,1119,333,-543,-661,1761
67,-1635,973,317,-818,-706,1639
68,-1493,820,328,-1019,-687,1478
69,-1445,656,329,-1105,-668,1239
70,-1350,508,351,-1093,-721,1211
71,-1210,344,378,-1010,-811,1229
72,-1072,244,373,-876,-887,1188
73,-868,225,369,-719,-941,1035
74,-620,244,400,-580,-949,853
75,-427,255,392,-488,-919,826
76,-233,238,386,-458,-878,936
77,-43,232,408,-448,-821,854
78,57,222,366,-428,-730,525
79,177,200,344,-433,-611,323
80,271,159,349,-440,-475,175
81,304,93,309,-415,-339,15
82,308,16,268,-355,-198,-130
83,249,-28,215,-262,-48,-330
84,233,-35,204,-163,100,-507
85,254,-24,232,-77,264,-668
86,152,-4,218,9,465,-925
87,-56,-21,197,83,680,-1124
88,-238,-33,231,154,888,-1258
