sequence,ax,ay,az,gx,gy,gz
0,517,229,192,-642,-173,63
1,507,154,181,-600,-29,-190
2,480,115,167,-522,150,-488
3,413,106,171,-426,370,-754
4,261,104,168,-315,602,-962
5,75,77,153,-199,794,-997
6,-160,47,146,-86,944,-976
7,-457,48,143,24,1062,-1122
8,-779,83,164,101,1137,-1342
9,-1078,167,233,130,1161,-1564
10,-1442,254,336,115,1137,-1840
11,-1830,323,404,71,1043,-2002
12,-2097,367,498,28,845,-2078
13,-2264,440,536,10,581,-2178
14,-2270,544,553,-10,362,-2273
15,-2213,621,602,-47,267,-2427
16,-2198,687,632,-99,305,-2501
17,-2199,746,650,-168,456,-2476
18,-2185,732,696,-261,676,-2471
19,-2361,605,704,-375,880,-2388
20,-2649,487,662,-446,1006,-2278
21,-2805,448,652,-408,1070,-2461
22,-2911,357,744,-290,1110,-2697
23,-3122,271,770,-129,1123,-2381
24,-3346,321,710,86,1089,-1919
25,-3337,424,684,291,1001,-1931
26,-3223,426,760,384,865,-2093
27,-3335,454,747,406,747,-1858
28,-3432,588,674,429,690,-1647
29,-3368,665,607,425,626,-1811
30,-3183,536,623,315,499,-1602
31,-3139,440,557,164,375,-1072
32,-3123,451,476,85,328,-1326
33,-3022,567,452,57,304,-2011
34,-2877,584,466,1,204,-2040
35,-2827,460,465,-77,88,-1238
36,-2928,420,403,-94,35,-609
37,-3035,521,366,-41,18,-834
38,-3106,732,378,-3,-38,-1208
39,-3111,995,442,20,-171,-1217
40,-3023,1269,483,155,-286,-1124
41,-2785,1567,482,388,-291,-883
42,-2505,1799,441,569,-227,-356
43,-2370,1831,373,589,-150,439
44,-2447,1730,342,463,-51,1391
45,-2610,1550,330,240,52,2114
46,-2803,1322,384,-27,165,2162
47,-3207,1229,421,-278,303,1676
48,-3642,1158,443,-470,335,1366
49,-3853,1052,446,-594,164,1618
50,-3869,947,441,-669,-137,1946
51,-3748,849,439,-718,-409,2018
52,-3568,740,478,-737,-567,1930
53,-3531,612,523,-720,-622,2053
54,-3549,470,531,-656,-668,2452
55,-3497,344,504,-556,-757,2742
56,-3321,253,505,-463,-836,2661
57,-3227,212,526,-375,-850,2361
58,-3168,165,531,-265,-854,2334
59,-3053,143,509,-134,-916,2525
60,-2822,171,506,-3,-990,2525
61,-2532,246,550,120,-978,2216
62,-2422,336,600,243,-854,1950
63,-2381,406,618,354,-710,2062
64,-2294,439,604,451,-649,2268
65,-2205,504,570,547,-657,2194
66,-2118,642,516,628,-653,1954
67,-1919,792,506,641,-625,1826
68,-1739,882,490,580,-612,1871
69,-1565,884,470,467,-598,2106
70,-1368,850,461,335,-528,2200
71,-1241,825,440,202,-402,1897
72,-1179,787,426,74,-276,1551
73,-1137,722,422,-37,-220,1409
74,-1072,648,391,-119,-254,1404
75,-913,573,345,-177,-356,1418
76,-658,486,338,-229,-475,1335
77,-467,419,305,-283,-563,1171
78,-277,328,288,-348,-624,1061
79,-45,217,286,-416,-676,1007
80,187,114,280,-473,-721,862
81,342,59,249,-497,-716,484
82,435,53,232,-477,-619,-47
83,492,57,227,-426,-448,-417
84,483,29,215,-351,-247,-526
85,433,5,221,-239,-43,-599
86,335,12,221,-88,150,-749
87,238,28,214,69,333,-886
88,93,26,198,207,517,-937
89,-113,42,180,327,686,-1031
90,-299,110,171,437,827,-1281
91,-497,222,171,524,959,-1506
92,-769,323,175,573,1084,-1524
93,-1107,408,203,587,1181,-1415
94,-1503,496,250,571,1240,-1418
95,-1830,561,324,490,1231,-1485
96,-2079,565,407,357,1143,-1686
97,-2379,577,418,223,1026,-2068
98,-2630,647,347,112,842,-2460
99,-2629,608,370,12,577,-2528
100,-2636,670,293,-49,347,-2343
101,-2547,709,287,-94,200,-2434
102,-2437,606,411,-132,217,-2518
103,-2635,667,330,-125,395,-2449
104,-2721,783,247,-124,581,-2513
105,-2565,698,408,-150,708,-2665
106,-2902,539,481,-93,851,-2347
107,-3292,608,421,119,1025,-1855
108,-3371,701,381,372,1120,-2044
109,-3385,527,470,551,1074,-2155
110,-3608,577,365,729,958,-1686
111,-3747,882,222,928,795,-1819
112,-3489,920,301,1022,609,-2113
113,-3227,706,427,991,505,-1565
114,-3285,674,273,958,468,-987
115,-3446,823,88,954,374,-1371
116,-3402,913,47,860,199,-1736
117,-3047,722,169,610,-7,-1213
118,-2816,525,190,326,-169,-589
119,-2867,607,83,132,-291,-910
120,-2899,912,59,31,-415,-1760
121,-2778,1213,128,-80,-512,-1840
122,-2683,1353,159,-277,-555,-1052
123,-2644,1504,143,-460,-514,-732
124,-2653,1695,196,-512,-328,-1464
125,-2611,1815,244,-481,-72,-1716
126,-2584,1786,216,-467,102,-710
127,-2643,1579,132,-510,125,655
128,-2744,1297,59,-576,10,1456
129,-2816,1113,30,-666,-146,1698
130,-2840,1033,80,-817,-238,1568
131,-2907,1019,145,-1007,-224,1365
132,-3001,949,230,-1191,-160,1340
133,-3263,820,252,-1282,-107,1459
134,-3556,686,252,-1236,-93,1575
135,-3727,541,339,-1076,-172,1658
136,-3762,431,396,-853,-352,1882
137,-3685,340,444,-611,-572,2068
138,-3557,296,488,-347,-745,2108
139,-3416,303,540,-69,-831,2242
140,-3296,304,586,201,-813,2448
141,-3204,320,620,465,-707,2522
142,-3216,342,570,711,-591,2614
143,-3174,418,507,894,-543,2814
144,-3123,521,414,998,-568,2809
145,-2949,615,352,1022,-594,2742
146,-2732,669,327,1003,-567,2690
147,-2591,744,278,957,-505,2724
148,-2460,823,227,856,-458,2606
149,-2373,828,174,716,-427,2361
150,-2194,812,159,566,-402,2397
151,-1973,797,177,415,-419,2459
152,-1853,770,173,252,-465,2434
153,-1779,783,147,80,-511,2343
154,-1602,829,151,-91,-547,2010
155,-1370,806,207,-273,-580,1670
156,-1282,764,218,-444,-592,1680
157,-1250,751,194,-574,-627,1711
158,-1137,744,169,-689,-735,1589
159,-902,707,155,-834,-891,1464
160,-629,658,173,-1001,-1004,1291
161,-385,614,186,-1153,-1031,980
162,-147,560,195,-1278,-990,672
163,117,472,230,-1374,-885,493
164,212,353,236,-1412,-729,321
165,212,195,218,-1368,-588,141
166,246,58,206,-1255,-516,0
167,344,-27,217,-1082,-479,-159
168,449,-73,220,-859,-418,-374
169,466,-86,195,-609,-305,-509
170,430,-63,158,-365,-131,-506
171,414,-25,159,-149,107,-575
172,350,-12,168,32,389,-770
173,140,-14,137,182,680,-888
174,-137,9,101,317,931,-993
175,-422,40,115,424,1102,-1208
176,-816,53,131,486,1184,-1309
177,-1303,104,162,517,1147,-1316
178,-1646,198,235,526,979,-1484
179,-1796,344,322,492,789,-1799
180,-1913,519,369,398,713,-2124
181,-1945,634,468,246,758,-2338
182,-2031,676,560,73,873,-2423
183,-2303,703,586,-61,967,-2440
184,-2675,801,567,-123,968,-2458
185,-2799,815,636,-155,860,-2465
186,-2753,780,734,-177,702,-2337
187,-2864,778,768,-198,622,-2182
188,-3003,844,784,-201,642,-2300
189,-2909,834,870,-211,656,-2466
190,-2944,730,915,-245,654,-2090
191,-3015,751,831,-241,626,-1706
192,-2908,685,887,-189,592,-1984
193,-2968,648,895,-115,605,-1957
194,-3008,675,852,-13,651,-1547
195,-2995,669,791,86,728,-1393
196,-3028,703,757,144,797,-1456
197,-3094,747,722,171,804,-1528
198,-3146,711,660,176,752,-1406
199,-3058,605,636,149,703,-1101
200,-2980,601,641,110,667,-1047
201,-3091,728,530,93,573,-1489
202,-2989,756,528,60,425,-1811
203,-2888,754,588,6,293,-1554
204,-2907,854,597,-31,195,-1123
205,-3037,1039,590,-31,100,-1106
206,-3186,1277,589,-12,-28,-1303
207,-3150,1529,623,38,-181,-1477
208,-2940,1698,682,112,-280,-1486
209,-2676,1769,721,177,-283,-1039
210,-2455,1720,656,194,-248,-209
211,-2367,1563,561,141,-212,673
212,-2489,1458,471,21,-184,1342
213,-2726,1424,433,-167,-183,1597
214,-2883,1352,455,-412,-197,1514
215,-2970,1229,540,-667,-165,1429
216,-3183,1118,588,-846,-95,1503
217,-3402,1012,577,-918,-95,1671
218,-3533,881,572,-908,-207,1821
219,-3557,702,612,-828,-352,1981
220,-3581,491,657,-646,-446,2252
221,-3612,353,672,-349,-505,2511
222,-3590,356,643,-16,-597,2552
223,-3473,405,608,241,-712,2548
224,-3294,460,576,395,-779,2638
225,-3139,547,556,488,-771,2623
226,-3011,627,528,531,-723,2502
227,-2894,682,514,505,-664,2461
228,-2811,702,496,438,-606,2481
229,-2704,689,467,357,-567,2536
230,-2559,679,428,294,-565,2422
231,-2473,692,423,263,-570,2023
232,-2433,742,412,251,-551,1673
