sequence,ax,ay,az,gx,gy,gz
0,-2015,756,1224,-943,913,-1904
1,-2185,768,1253,-864,984,-1826
2,-2235,806,1321,-797,1051,-1856
3,-2319,778,1372,-760,1097,-1868
4,-2523,746,1356,-735,1117,-1689
5,-2733,752,1320,-668,1106,-1592
6,-2855,740,1286,-567,1057,-1572
7,-2935,739,1274,-472,972,-1540
8,-2963,752,1257,-424,844,-1471
9,-2907,791,1207,-431,681,-1264
10,-2772,839,1112,-482,553,-1014
11,-2583,825,1053,-588,507,-858
12,-2472,781,1019,-749,507,-804
13,-2502,749,949,-913,499,-1003
14,-2548,654,901,-1079,461,-1276
15,-2500,521,886,-1260,379,-1182
16,-2467,399,865,-1381,277,-1038
17,-2424,331,872,-1388,209,-1150
18,-2366,306,905,-1273,196,-1397
19,-2262,316,973,-1076,238,-1436
20,-2201,299,1042,-847,321,-1070
21,-2245,294,1095,-569,406,-573
22,-2409,290,1119,-207,472,-306
23,-2593,321,1095,208,491,-130
24,-2715,377,1019,612,420,185
25,-2723,454,953,941,259,706
26,-2651,548,907,1158,68,1113
27,-2556,642,894,1250,-86,1209
28,-2437,732,917,1241,-155,1159
29,-2418,817,937,1183,-122,1101
30,-2505,875,920,1119,-39,1089
31,-2599,925,920,1048,20,1216
32,-2654,954,918,940,21,1454
33,-2629,965,958,813,-27,1549
34,-2649,987,988,706,-80,1425
35,-2740,991,990,641,-92,1295
36,-2811,938,1010,620,-57,1401
37,-2897,862,1003,627,-8,1754
38,-3023,799,957,639,0,2027
39,-3115,758,890,628,-68,2030
40,-3155,741,818,591,-201,1843
41,-3100,748,779,542,-358,1690
42,-2984,753,750,493,-508,1671
43,-2850,766,697,443,-631,1758
44,-2652,761,655,392,-708,1763
45,-2476,739,636,361,-728,1650
46,-2378,726,604,370,-716,1670
47,-2290,728,574,406,-725,1911
48,-2146,763,532,434,-769,2256
49,-1953,792,515,450,-815,2413
50,-1730,830,530,464,-810,2285
51,-1573,876,546,483,-743,2033
52,-1513,917,533,518,-621,1925
53,-1456,954,517,563,-480,1917
54,-1358,970,514,603,-360,1802
55,-1270,987,511,619,-280,1650
56,-1249,1024,478,607,-242,1535
57,-1189,1053,447,579,-250,1443
58,-1060,1065,423,537,-281,1357
59,-905,1047,405,472,-304,1336
60,-752,1015,394,380,-298,1334
61,-595,950,406,268,-256,1232
62,-542,872,384,157,-208,1123
63,-552,805,333,70,-205,1112
64,-474,746,296,4,-265,1087
65,-321,712,258,-55,-367,1019
66,-72,700,251,-132,-459,910
67,194,694,282,-232,-486,639
68,301,667,261,-338,-448,309
69,343,612,217,-441,-401,113
70,349,548,183,-521,-341,-63
71,369,495,184,-571,-248,-318
72,359,463,193,-597,-116,-654
73,274,454,187,-598,23,-995
74,159,452,195,-584,145,-1262
75,1,448,218,-553,259,-1428
76,-176,462,233,-516,374,-1475
