sequence,ax,ay,az,gx,gy,gz
0,-2717,185,121,696,787,-1683
1,-2896,284,29,694,699,-1954
2,-2752,332,122,669,557,-2318
3,-2731,357,163,638,436,-2434
4,-2878,461,88,628,398,-2284
5,-2922,569,87,633,430,-2286
6,-2873,579,148,602,519,-2203
7,-2956,575,117,553,626,-1943
8,-3119,615,47,524,702,-1901
9,-3221,622,57,508,719,-2021
10,-3273,535,61,501,666,-1933
11,-3376,522,32,528,582,-1606
12,-3536,653,-28,586,453,-1458
13,-3445,704,-27,593,243,-1406
14,-3171,617,52,506,20,-1272
15,-3035,597,40,384,-141,-1093
16,-3032,645,-30,287,-228,-1158
17,-2959,653,-61,212,-251,-1236
18,-2853,600,-63,114,-238,-1015
19,-2673,497,-9,-37,-235,-568
20,-2640,480,-17,-142,-269,-481
21,-2700,544,-80,-115,-291,-1017
22,-2672,631,-75,2,-256,-1323
23,-2589,716,-40,143,-183,-882
24,-2526,756,-48,275,-129,-29
25,-2539,743,-114,370,-119,686
26,-2567,752,-188,408,-136,1043
27,-2541,791,-232,365,-150,1113
28,-2513,849,-249,234,-108,1082
29,-2551,913,-220,31,-11,1040
30,-2705,956,-213,-215,101,1090
31,-2880,918,-244,-476,191,1245
32,-3036,810,-291,-690,211,1350
33,-3122,702,-292,-836,139,1359
34,-3168,610,-251,-906,35,1335
35,-3224,527,-227,-901,-31,1453
36,-3241,430,-183,-838,-57,1768
37,-3231,374,-126,-750,-87,2043
38,-3246,392,-96,-672,-152,2089
39,-3167,418,-84,-636,-232,2010
40,-3081,425,-60,-638,-272,1980
41,-2983,414,-20,-668,-281,2039
42,-2955,389,2,-694,-290,2045
43,-2921,360,38,-706,-307,1976
44,-2875,370,75,-702,-330,1886
45,-2828,375,122,-691,-356,1839
46,-2783,353,131,-671,-403,1851
47,-2681,337,137,-636,-485,1806
48,-2539,339,157,-590,-569,1715
49,-2407,350,165,-550,-625,1607
50,-2266,335,177,-513,-667,1495
51,-2078,306,197,-469,-703,1424
52,-1881,280,208,-419,-724,1318
53,-1744,296,207,-358,-734,1170
54,-1660,321,210,-282,-741,1060
55,-1506,306,262,-209,-721,1059
56,-1334,266,302,-147,-676,1011
57,-1236,261,300,-82,-639,926
58,-1129,308,304,-17,-622,849
59,-995,362,325,39,-605,757
60,-878,409,320,66,-594,741
61,-728,410,326,45,-604,797
62,-533,385,352,-21,-618,893
63,-358,339,360,-101,-616,849
64,-259,273,324,-172,-558,617
65,-212,234,300,-225,-435,266
66,-178,208,303,-257,-278,-104
67,-185,176,306,-275,-125,-318
68,-246,152,290,-258,14,-486
69,-370,133,254,-201,140,-702
70,-482,122,214,-126,247,-804
71,-516,114,222,-41,330,-860
72,-599,95,206,44,412,-953
73,-758,102,171,112,512,-983
74,-937,147,134,162,637,-1056
75,-1019,143,158,185,763,-1282
76,-1263,94,140,194,883,-1474
77,-1612,103,56,198,974,-1436
78,-1837,144,31,210,1012,-1603
79,-2045,163,55,219,1011,-1995
80,-2324,161,85,184,980,-2075
81,-2578,155,130,125,946,-1927
82,-2808,143,148,91,933,-2012
83,-2951,126,173,77,906,-2267
84,-3048,128,229,87,825,-2462
85,-3185,205,217,139,724,-2543
86,-3193,294,220,199,657,-2482
87,-3102,300,306,233,650,-2295
88,-3141,249,311,262,688,-2029
89,-3224,152,275,297,756,-1782
90,-3303,98,229,348,825,-1698
91,-3305,89,251,414,829,-1776
92,-3294,84,281,506,736,-1905
93,-3375,130,242,647,608,-1914
94,-3429,220,198,800,498,-1677
95,-3325,303,185,888,362,-1286
96,-3072,327,207,896,182,-1033
97,-2972,331,184,867,50,-986
98,-3010,379,108,822,29,-953
99,-2974,387,75,757,49,-828
100,-2830,370,84,661,31,-633
101,-2757,309,45,584,-34,-678
102,-2738,279,-9,540,-111,-727
103,-2677,275,-18,487,-181,-500
104,-2647,391,-37,453,-213,-349
105,-2615,524,-45,440,-209,-585
106,-2642,631,-96,435,-182,-713
107,-2612,724,-106,422,-163,-379
