sequence,ax,ay,az,gx,gy,gz
0,219,811,-1,104,-294,-78
1,253,845,-34,208,-404,-237
2,401,1012,-13,340,-511,-201
3,561,1091,-67,402,-543,-114
4,691,1121,-169,438,-501,-215
5,776,1295,-153,463,-391,-406
6,801,1487,-119,422,-217,-492
7,788,1523,-221,365,-62,-265
8,814,1625,-250,370,10,-91
9,870,1835,-157,313,74,-259
10,840,1970,-84,115,185,-585
11,755,1905,-139,-66,248,-596
12,790,1895,-197,-104,208,-346
13,843,1994,-201,-114,164,-278
14,861,2189,-162,-187,171,-458
15,885,2386,-99,-321,198,-471
16,918,2514,-9,-490,231,-353
17,842,2463,55,-663,270,-199
18,702,2236,94,-771,270,-3
19,664,2102,131,-714,157,90
20,811,2285,157,-520,-44,61
21,999,2576,160,-389,-205,60
22,1090,2664,91,-406,-267,67
23,1097,2628,3,-447,-274,61
24,1114,2644,-74,-424,-278,32
25,1169,2731,-188,-333,-295,-29
26,1157,2736,-344,-224,-298,-142
27,1097,2592,-483,-87,-277,-157
28,1124,2524,-558,122,-231,-9
29,1188,2576,-572,316,-110,123
30,1234,2733,-576,398,87,88
31,1192,2825,-585,361,304,65
32,1094,2755,-587,255,484,163
33,998,2625,-577,163,585,243
34,958,2539,-542,126,584,269
35,953,2494,-446,135,513,285
36,920,2473,-311,151,402,317
37,925,2486,-178,168,238,349
38,994,2508,-104,189,35,351
39,1099,2501,-66,191,-137,330
40,1192,2457,-36,138,-216,288
41,1203,2337,31,24,-201,253
42,1166,2172,134,-97,-140,226
43,1100,2062,241,-196,-68,32
44,962,1886,302,-277,-12,-98
45,838,1581,307,-266,-12,75
46,808,1394,290,-96,-60,233
47,858,1570,365,82,-64,78
48,779,1747,462,35,25,-42
49,603,1533,454,-163,99,116
50,519,1213,382,-200,62,169
51,580,1139,348,-13,-29,93
52,647,1180,308,209,-54,52
53,672,1246,255,356,11,71
54,674,1326,203,391,128,126
55,598,1293,140,302,270,117
56,461,1147,38,187,396,-22
57,367,1060,-18,145,453,-126
58,264,979,-25,138,459,-149
59,135,871,-23,120,478,-314
60,-12,798,-56,117,508,-469
61,-148,786,-161,157,493,-372
62,-160,877,-265,265,367,-85
63,-44,1090,-282,342,190,50
64,90,1305,-250,268,78,-24
65,104,1319,-216,67,32,-41
66,41,1176,-238,-114,-38,-55
67,6,1040,-284,-197,-156,-173
68,-12,953,-263,-187,-296,-258
69,66,922,-166,-79,-449,-77
70,156,903,-63,40,-533,109
71,165,913,-5,108,-516,18
72,141,971,49,170,-484,-108
73,146,976,60,272,-521,-89
74,188,975,-27,454,-632,-96
75,315,1246,-91,675,-750,-223
76,539,1754,-101,752,-761,-279
77,786,2173,-89,567,-620,-4
78,861,2182,-138,232,-428,395
79,796,2044,-224,-60,-264,157
80,767,2132,-229,-230,-139,-332
81,806,2269,-167,-355,-47,-290
82,843,2235,-207,-434,-12,24
83,898,2264,-257,-412,-27,100
84,979,2484,-214,-428,24,-17
85,1022,2664,-154,-597,172,-47
86,990,2647,-115,-802,298,25
87,912,2477,-81,-933,336,122
88,817,2255,-58,-962,313,145
89,753,2165,-7,-879,246,-13
90,762,2251,62,-769,171,-40
91,849,2439,140,-682,101,60
92,901,2538,184,-634,43,167
93,890,2470,192,-618,-11,245
94,969,2441,162,-536,-95,285
95,1184,2589,117,-348,-190,378
96,1401,2781,41,-141,-243,394
97,1510,2866,-75,21,-249,286
98,1466,2770,-196,158,-225,203
99,1353,2620,-303,325,-191,236
100,1301,2627,-397,503,-173,296
101,1356,2798,-437,601,-154,269
102,1363,2896,-425,549,-84,94
103,1260,2833,-413,446,-7,-15
104,1169,2774,-349,432,-9,29
105,1047,2620,-277,452,-59,43
106,992,2443,-245,484,-133,157
107,1039,2444,-189,525,-218,323
108,1092,2551,-68,487,-298,321
109,1099,2517,19,332,-376,178
110,1065,2273,49,113,-434,-107
111,1029,1960,24,-66,-434,-205
112,977,1727,26,-126,-392,-92
113,929,1633,35,-88,-349,-49
114,965,1540,38,-21,-310,-3
115,1013,1381,25,41,-197,108
116,1017,1352,59,94,19,129
117,928,1348,116,82,284,92
118,808,1211,115,38,505,203
119,742,1027,80,69,647,318
