sequence,ax,ay,az,gx,gy,gz
184,488,2641,-25,804,-802,480
185,580,2800,-54,799,-1042,116
186,702,2842,-117,693,-1189,-105
187,778,2688,-190,566,-1217,-24
188,791,2543,-160,489,-1159,32
189,738,2416,-67,390,-1060,-104
190,663,2181,-46,273,-956,-193
191,666,1926,-102,274,-865,-86
192,714,1794,-153,450,-768,129
193,756,1862,-161,632,-618,239
194,754,1989,-132,624,-402,233
195,731,1994,-158,444,-166,257
196,714,1866,-205,280,25,342
197,668,1714,-211,205,173,314
198,592,1613,-177,168,316,234
199,517,1534,-157,146,437,373
200,493,1496,-176,138,514,546
201,499,1495,-201,151,548,551
202,488,1522,-231,195,554,432
203,466,1617,-250,217,556,392
204,458,1615,-271,145,559,712
205,461,1487,-282,34,533,988
206,458,1386,-202,-61,491,743
207,413,1372,-90,-212,502,84
208,273,1268,-34,-415,569,-366
209,54,1056,-22,-556,630,-304
210,-156,806,-17,-581,625,-71
211,-318,596,-2,-480,507,-1
212,-413,542,-8,-278,282,-116
213,-389,614,-24,-60,-14,-97
214,-243,702,-65,131,-329,55
215,-14,848,-92,270,-588,47
216,172,977,-67,330,-716,-223
217,169,851,-35,300,-701,-467
218,81,632,-97,297,-632,-496
219,101,634,-147,457,-623,-465
220,185,737,-150,683,-638,-377
221,262,914,-131,805,-580,-240
222,289,1130,-124,791,-456,-276
223,313,1256,-201,716,-352,-334
224,380,1305,-345,694,-297,-242
225,466,1487,-402,743,-249,-202
226,561,1815,-371,711,-147,-245
227,594,1957,-429,542,-4,-242
228,595,1995,-562,389,116,-195
229,654,2192,-589,334,175,-89
230,725,2493,-516,219,235,-75
231,713,2592,-469,-46,301,-245
232,648,2517,-521,-287,304,-558
233,573,2532,-629,-381,241,-753
234,538,2600,-647,-385,156,-465
235,560,2619,-574,-404,86,-146
236,593,2555,-518,-499,51,-320
237,569,2465,-482,-631,47,-676
238,500,2333,-449,-727,67,-641
239,448,2191,-425,-702,101,-330
240,431,2146,-439,-548,127,-122
241,463,2320,-475,-403,153,-41
242,493,2622,-509,-337,179,-36
243,503,2904,-569,-332,201,2
244,488,3051,-656,-358,229,21
245,450,3063,-776,-362,245,33
246,399,3022,-911,-292,229,34
247,333,2967,-983,-143,176,94
248,348,2970,-938,43,95,252
249,409,3018,-831,182,31,305
250,429,3089,-711,229,-5,213
251,449,3106,-577,200,-51,165
252,488,2918,-461,144,-103,243
253,492,2567,-413,174,-148,367
254,501,2319,-438,397,-224,484
255,587,2392,-444,737,-331,553
256,682,2585,-420,931,-393,626
257,697,2616,-415,911,-412,644
258,693,2475,-456,803,-438,638
259,731,2353,-497,721,-472,634
260,734,2281,-460,609,-473,528
