sequence,ax,ay,az,gx,gy,gz
0,2899,-878,-347,800,-690,2853
1,2777,-662,-362,701,-553,2261
2,2704,-681,-381,513,-352,2640
3,2710,-846,-389,365,-113,3307
4,2725,-916,-351,259,130,3495
5,2680,-917,-270,122,371,3172
6,2638,-1105,-234,-57,632,2933
7,2567,-1301,-204,-158,867,3041
8,2448,-1419,-143,-169,1027,2816
9,2307,-1470,-96,-165,1087,2229
10,2151,-1369,-5,-179,1034,1704
11,2057,-1336,119,-246,893,1317
12,2043,-1354,223,-345,685,1093
13,2084,-1364,352,-457,440,742
14,2186,-1390,487,-576,189,46
15,2352,-1451,541,-669,-33,-875
16,2534,-1584,508,-663,-160,-1565
17,2726,-1652,475,-515,-144,-1846
18,2898,-1624,442,-333,6,-2037
19,2978,-1513,387,-199,238,-2449
20,2951,-1349,332,-147,503,-2912
21,2875,-1306,278,-174,754,-3187
22,2815,-1359,222,-194,961,-3195
23,2765,-1391,193,-144,1110,-3091
24,2661,-1263,198,-48,1189,-3049
25,2545,-1024,232,-6,1182,-3107
26,2559,-920,258,-64,1107,-3245
27,2751,-986,265,-119,1027,-3231
28,2815,-946,277,-108,987,-3559
29,2645,-735,273,-88,961,-4217
30,2380,-443,271,-72,901,-4449
31,2142,-229,283,-73,822,-4355
32,2028,-139,314,-61,741,-4091
33,1914,-44,340,4,655,-3987
34,1814,83,370,62,563,-4086
35,1659,152,391,92,458,-4031
36,1477,199,384,152,303,-3961
37,1339,379,361,230,103,-3952
38,1196,572,346,219,-89,-4041
39,1138,634,330,140,-249,-4142
40,1155,717,290,84,-379,-4048
41,1017,869,246,3,-415,-4132
42,595,920,229,-165,-338,-4305
43,173,819,233,-326,-227,-4166
44,-153,698,336,-402,-126,-3577
45,-463,557,492,-396,-5,-2873
46,-783,465,674,-315,133,-2138
47,-1126,452,826,-198,257,-1527
48,-1472,516,937,-89,330,-1097
49,-1792,591,984,-17,345,-772
50,-2018,695,972,48,313,-384
51,-2055,874,911,107,228,238
52,-1916,970,838,94,86,870
53,-1682,889,734,69,-86,1438
54,-1395,812,639,128,-263,2096
55,-1097,815,565,194,-431,2540
56,-806,809,496,209,-578,2739
57,-517,762,443,197,-701,3066
58,-172,613,382,181,-795,3425
59,179,458,333,206,-837,3555
60,478,381,293,302,-832,3627
61,875,321,244,410,-806,3881
62,1277,216,219,502,-713,4013
63,1593,99,178,642,-611,4041
64,1778,132,141,817,-582,4046
65,1940,251,110,901,-544,3828
66,2112,328,102,832,-443,3679
67,2093,200,89,687,-308,3673
68,2008,39,68,619,-257,3890
69,2218,-79,57,577,-292,3935
70,2480,-186,87,443,-279,3700
71,2390,-398,83,282,-199,3698
72,2130,-599,59,240,-191,4072
73,2258,-869,42,260,-281,4167
74,2534,-1151,16,279,-346,3919
75,2652,-1422,-46,338,-403,3990
76,2676,-1552,-99,447,-507,4434
77,2623,-1393,-94,497,-600,4217
78,2646,-1388,-75,352,-640,3693
79,2751,-1763,-105,190,-574,3710
80,2761,-1891,-110,220,-382,3995
81,2749,-1742,-46,271,-128,4056
82,2721,-1600,37,171,136,3609
83,2663,-1625,101,-50,395,2952
84,2570,-1769,155,-235,614,2396
85,2442,-1875,209,-295,750,1769
86,2313,-1850,294,-269,762,1110
87,2206,-1780,387,-223,662,455
88,2130,-1694,466,-192,485,-208
89,2108,-1691,516,-196,258,-661
90,2141,-1790,500,-177,5,-1001
91,2235,-1868,452,-83,-243,-1364
92,2375,-1890,400,56,-436,-1810
93,2524,-1896,337,192,-533,-2344
94,2651,-1796,258,308,-537,-2743
95,2724,-1620,203,370,-460,-3133
96,2766,-1440,168,338,-321,-3562
97,2758,-1365,120,239,-149,-3717
98,2738,-1350,74,155,29,-3780
99,2726,-1263,57,137,204,-3799
100,2673,-1088,62,126,359,-3772
101,2609,-1010,70,53,464,-3712
102,2588,-1044,45,3,500,-3570
103,2536,-909,26,25,480,-3662
104,2428,-610,12,9,435,-3960
105,2339,-398,7,-106,406,-4114
106,2317,-303,17,-260,417,-4027
107,2231,-296,27,-368,485,-3904
108,2066,-304,34,-387,571,-3973
109,1909,-180,60,-352,598,-3907
110,1716,38,85,-362,596,-3958
111,1576,146,109,-437,560,-3927
112,1461,114,116,-478,490,-3731
113,1334,132,102,-423,434,-3719
114,1057,336,107,-333,399,-3924
115,731,583,135,-323,308,-4017
116,486,707,180,-382,135,-3717
117,400,689,227,-429,-63,-3365
118,316,712,302,-422,-229,-3278
119,76,841,431,-408,-347,-3508
120,-156,961,551,-404,-445,-3398
121,-295,959,624,-370,-476,-2909
122,-479,947,702,-285,-377,-2599
123,-752,1035,817,-194,-152,-2292
124,-1090,1167,926,-169,160,-1740
125,-1416,1261,999,-255,502,-1090
126,-1640,1277,1018,-430,814,-502
127,-1749,1121,978,-605,1065,68
128,-1779,880,894,-613,1245,848
129,-1746,771,790,-387,1319,1901
130,-1658,873,698,-100,1210,2673
131,-1559,1067,611,23,885,2740
132,-1378,1128,521,-65,431,2637
133,-1075,943,433,-236,-22,2735
134,-680,600,364,-323,-384,3001
135,-252,288,293,-228,-636,3419
136,117,162,251,1,-815,3642
137,397,286,236,223,-960,3613
138,742,360,222,291,-1084,3675
139,1227,192,189,264,-1139,4017
140,1714,-58,137,310,-1036,4357
141,2083,-151,89,465,-742,4423
142,2169,15,126,595,-388,4265
143,2125,101,161,577,-182,4384
144,2304,147,168,460,-158,4819
145,2456,268,197,181,-130,4292
146,2212,55,246,-254,1,2913
147,2000,-538,283,-491,-14,3229
148,2178,-922,305,-367,-235,4824
149,2362,-848,355,-216,-453,4455
150,2238,-746,397,-292,-611,2515
151,2175,-976,366,-407,-768,2332
152,2292,-1395,282,-312,-833,3577
153,2368,-1640,220,-47,-775,4460
154,2383,-1744,180,194,-762,4611
155,2523,-1733,141,279,-822,4256
156,2762,-1738,86,204,-745,3900
157,2934,-1785,62,37,-449,3920
158,2994,-1872,106,-118,-19,3622
159,2935,-1881,188,-183,456,2666
160,2798,-1820,291,-206,877,1887
161,2626,-1805,421,-230,1145,1593
162,2467,-1740,600,-251,1186,1363
