sequence,ax,ay,az,gx,gy,gz
0,602,2366,-114,-386,545,28
1,683,2557,-103,-363,495,88
2,701,2609,-152,-409,467,116
3,687,2652,-183,-478,454,96
4,661,2743,-210,-520,406,39
5,615,2819,-279,-524,305,-84
6,604,2899,-352,-516,164,-5
7,632,2985,-399,-471,-24,273
8,667,2992,-469,-387,-266,542
9,746,2935,-538,-287,-527,683
10,882,2931,-594,-178,-755,577
11,1051,2943,-670,-58,-899,480
12,1247,2937,-777,68,-939,397
13,1424,2929,-850,189,-862,265
14,1464,2901,-846,272,-650,132
15,1370,2813,-795,303,-369,38
16,1227,2591,-736,332,-108,-54
17,1086,2374,-669,426,93,-85
18,992,2275,-573,583,231,26
19,938,2252,-499,753,301,194
20,933,2268,-454,883,307,329
21,951,2290,-453,928,278,410
22,929,2280,-456,863,247,410
23,861,2247,-423,707,205,352
24,755,2143,-360,501,106,336
25,691,1976,-295,307,-59,247
26,672,1745,-296,175,-242,97
27,701,1559,-363,149,-390,-39
28,796,1566,-370,195,-456,-129
29,862,1648,-321,190,-408,-159
30,817,1572,-301,101,-279,-46
31,704,1307,-329,40,-150,123
32,623,1108,-380,126,-71,147
33,622,1143,-413,292,-18,46
34,646,1311,-432,358,92,44
35,633,1379,-433,261,260,275
36,554,1271,-430,95,428,402
37,415,1120,-432,-61,560,201
38,244,1006,-408,-164,617,-53
39,107,917,-373,-208,570,11
40,81,856,-394,-165,419,203
41,161,940,-409,-70,233,153
42,221,1054,-391,-75,133,-64
43,187,1039,-332,-216,131,-166
44,73,877,-249,-390,152,-179
45,-58,638,-298,-451,98,-179
46,-59,541,-395,-289,-88,-168
47,102,686,-401,-37,-301,-193
48,286,933,-309,72,-371,-250
49,343,1048,-191,-18,-273,-261
50,314,955,-127,-158,-141,-246
51,247,756,-152,-172,-99,-377
52,222,684,-295,-14,-135,-674
53,308,975,-390,205,-174,-809
54,480,1442,-333,261,-136,-586
55,572,1695,-225,89,-29,-337
56,501,1666,-261,-138,49,-474
57,409,1706,-374,-264,49,-891
58,433,2032,-441,-349,21,-921
59,560,2418,-369,-491,14,-539
60,632,2578,-247,-724,73,-381
61,565,2542,-133,-1003,171,-650
62,460,2446,-67,-1219,249,-863
63,409,2389,-5,-1268,291,-707
64,384,2360,59,-1122,289,-385
65,334,2359,64,-857,259,-84
66,357,2515,39,-577,215,148
67,458,2790,12,-344,171,346
68,549,3008,-54,-178,137,496
69,630,3113,-157,-83,111,625
70,676,3137,-285,-24,81,681
71,691,3127,-382,28,32,666
72,747,3111,-479,100,-55,593
73,886,3169,-605,188,-153,377
74,929,3111,-769,254,-199,85
75,836,2848,-924,333,-205,-66
76,844,2714,-943,528,-209,95
77,917,2763,-853,719,-134,388
78,899,2770,-791,816,19,461
79,798,2685,-762,889,138,398
80,725,2595,-719,983,175,554
81,752,2541,-693,1069,148,860
82,863,2506,-710,1099,78,1077
83,968,2455,-727,1046,3,1133
84,1030,2449,-671,913,-50,997
85,1040,2441,-577,663,-76,781
86,1008,2220,-519,351,-107,610
87,988,1877,-498,136,-166,584
88,971,1620,-461,66,-211,545
89,940,1524,-411,62,-219,448
90,943,1596,-352,24,-199,333
91,965,1630,-299,-97,-157,292
92,941,1466,-292,-234,-83,418
93,871,1256,-290,-310,27,506
94,756,1127,-254,-345,141,396
95,632,1008,-202,-363,207,356
96,560,878,-186,-333,205,422
97,556,829,-209,-227,166,390
98,617,942,-216,-110,120,324
99,648,1085,-171,-111,125,121
100,616,1146,-171,-223,189,-51
101,548,1115,-207,-313,220,22
102,491,1002,-210,-318,182,213
103,452,896,-164,-283,146,98
104,385,794,-197,-255,164,-269
105,331,775,-220,-193,185,-295
106,289,768,-185,-105,168,-52
107,222,731,-131,-35,137,-90
108,127,665,-89,10,105,-280
109,48,581,-82,68,38,-263
110,33,520,-131,187,-87,-186
111,90,580,-180,330,-214,-317
112,195,783,-156,402,-271,-463
113,290,970,-98,352,-259,-388
114,355,1000,-97,227,-232,-301
115,348,915,-209,162,-258,-487
116,396,1026,-329,221,-342,-779
117,585,1445,-328,252,-361,-801
118,751,1737,-305,127,-269,-535
119,814,1815,-367,-93,-135,-453
120,831,1946,-422,-266,-34,-743
121,819,2112,-433,-375,37,-908
122,833,2313,-394,-522,148,-778
123,805,2441,-375,-703,288,-587
124,792,2581,-336,-836,393,-447
125,786,2716,-290,-927,476,-360
126,746,2735,-233,-994,525,-251
127,705,2654,-225,-984,476,-55
128,787,2724,-240,-852,359,45
129,912,2979,-277,-688,275,-29
130,992,3203,-353,-589,252,5
131,1019,3265,-472,-507,244,256
132,1013,3196,-592,-381,197,411
133,966,3035,-686,-177,73,360
134,938,2886,-755,109,-138,256
135,1008,2853,-751,384,-358,177
136,1064,2837,-704,509,-459,130
137,1043,2670,-673,505,-430,152
138,1028,2519,-638,510,-355,204
139,1030,2478,-595,562,-283,161
140,1034,2473,-584,629,-229,101
141,1008,2394,-589,675,-169,191
142,976,2332,-590,720,-97,406
143,955,2324,-560,734,-32,619
144,943,2308,-515,674,3,593
145,958,2290,-479,557,9,405
146,977,2275,-438,430,20,314
147,960,2170,-397,306,38,457
148,899,1977,-391,215,22,574
149,853,1869,-397,188,-47,537
150,881,1909,-350,184,-136,483
151,885,1847,-321,129,-205,517
152,901,1729,-317,60,-244,518
153,943,1659,-336,13,-234,432
154,943,1587,-358,-9,-177,397
155,924,1539,-367,-17,-95,411
156,900,1513,-356,-41,-2,451
157,840,1428,-302,-93,84,605
158,734,1283,-228,-175,152,662
159,593,1131,-191,-250,181,465
160,503,1033,-203,-288,156,282
161,474,975,-198,-302,101,338
162,510,914,-211,-309,58,447
163,584,944,-241,-328,82,159
164,560,954,-284,-389,191,-246
165,460,861,-268,-422,288,-134
166,358,737,-203,-372,331,39
167,239,630,-131,-288,358,-104
168,98,523,-46,-212,368,-178
169,-54,411,-13,-93,316,-191
170,-128,360,-58,102,178,-168
171,-96,427,-107,358,-26,-82
172,9,623,-101,573,-221,-83
173,108,808,-63,634,-334,-105
174,154,847,-63,573,-385,-79
175,165,818,-127,526,-455,-227
176,218,876,-254,544,-574,-372
177,403,1130,-332,564,-683,-379
178,620,1394,-312,492,-692,-310
179,766,1450,-411,310,-601,-239
180,826,1487,-639,175,-509,-476
181,982,1795,-712,151,-460,-651
182,1169,2052,-668,47,-344,-337
183,1239,2064,-613,-175,-135,-130
184,1167,1995,-621,-386,88,-404
185,1060,2021,-728,-476,251,-642
186,1020,2137,-703,-442,302,-351
187,1048,2289,-616,-416,299,-94
188,1058,2385,-513,-483,311,-85
189,1022,2333,-452,-621,346,-169
190,994,2275,-403,-722,362,-324
191,987,2304,-355,-695,324,-442
192,959,2321,-328,-577,256,-302
193,978,2396,-332,-450,183,-155
194,1020,2512,-371,-391,117,-207
195,1086,2673,-448,-406,80,-244
196,1124,2762,-522,-446,72,-153
197,1053,2709,-613,-441,63,-107
198,924,2599,-744,-333,-3,-76
199,858,2598,-861,-108,-147,25
200,894,2662,-944,154,-314,186
201,1009,2771,-985,362,-432,280
202,1129,2881,-964,468,-443,250
203,1206,2928,-941,470,-353,175
204,1202,2855,-928,441,-230,157
205,1116,2662,-934,435,-122,176
206,1017,2430,-926,529,-81,235
207,1029,2390,-888,716,-117,328
208,1121,2483,-806,856,-170,510
209,1175,2497,-713,835,-189,566
210,1182,2444,-657,685,-189,386
211,1142,2316,-601,472,-181,193
212,1034,2091,-540,249,-169,38
213,941,1882,-527,98,-179,-150
214,934,1802,-507,57,-215,-158
215,938,1729,-476,45,-237,-69
216,929,1672,-457,13,-202,-92
217,936,1663,-413,-59,-89,-137
218,891,1559,-365,-141,72,-104
219,738,1374,-316,-120,186,-79
220,512,1190,-212,-15,227,16
221,370,1101,-133,80,217,213
222,364,1142,-133,147,159,443
223,472,1323,-214,147,95,485
224,570,1429,-314,51,84,387
225,589,1376,-389,-78,128,305
226,584,1266,-362,-186,210,202
227,487,1103,-306,-293,323,62
228,314,913,-326,-334,427,-227
229,213,854,-379,-261,466,-168
230,157,847,-378,-163,459,192
231,32,799,-256,-142,446,141
232,-168,660,-155,-181,417,-204
233,-334,444,-263,-144,265,-209
234,-305,412,-330,74,-39,-8
235,-80,599,-313,306,-330,46
236,143,781,-181,392,-470,-22
237,167,740,-109,312,-442,-110
238,113,593,-288,232,-382,-268
239,193,592,-404,327,-425,-319
240,313,720,-354,485,-476,-143
241,421,954,-263,522,-414,-218
242,473,1166,-250,429,-271,-482
243,500,1227,-373,316,-158,-330
244,515,1285,-469,295,-140,-120
245,614,1600,-498,319,-164,-224
246,767,1988,-582,219,-154,-224
