sequence,ax,ay,az,gx,gy,gz
168,2423,-1477,33,21,-53,3091
169,2493,-1316,27,37,-182,2750
170,2513,-1214,17,-73,-189,2651
171,2536,-1297,3,-248,-116,2686
172,2566,-1469,5,-381,-16,2697
173,2550,-1448,50,-436,96,2532
174,2501,-1339,132,-507,236,2175
175,2479,-1419,175,-603,406,1992
176,2417,-1447,252,-601,576,1865
177,2337,-1334,403,-532,693,1730
178,2279,-1287,549,-498,707,1685
179,2284,-1191,786,-514,614,1342
180,2369,-1270,965,-555,431,1084
181,2474,-1629,1006,-484,205,686
182,2548,-1843,935,-284,-1,-291
183,2580,-1918,775,-20,-147,-1017
184,2598,-1816,653,227,-227,-1375
185,2579,-1607,540,384,-283,-1802
186,2625,-1381,460,420,-353,-2367
187,2779,-1338,404,350,-407,-2748
188,2923,-1519,319,282,-387,-3025
189,3008,-1599,278,339,-302,-3319
190,3058,-1516,258,437,-197,-3551
191,3055,-1398,215,446,-88,-3695
192,2972,-1276,172,374,0,-3752
193,2872,-1150,142,271,54,-3898
194,2751,-1079,107,165,106,-4213
195,2667,-1045,66,111,182,-4230
196,2594,-952,51,136,302,-3880
197,2420,-747,48,168,463,-3902
198,2270,-553,38,114,563,-4004
199,2104,-359,25,-1,565,-4035
200,1899,-222,23,-138,559,-4264
201,1747,-239,15,-249,589,-4167
202,1602,-245,24,-231,633,-3867
203,1432,-66,50,-138,633,-3674
204,1209,177,85,-122,564,-3707
205,1016,290,121,-190,404,-3753
206,960,295,148,-218,187,-3527
207,897,296,163,-120,5,-3293
208,665,475,203,40,-128,-3448
209,406,745,264,141,-243,-3451
210,243,924,308,167,-342,-3059
211,-8,1071,345,129,-359,-2952
212,-410,1189,401,-7,-291,-3147
213,-877,1230,516,-222,-160,-3223
214,-1303,1175,660,-470,67,-2858
215,-1598,882,749,-658,400,-2005
216,-1779,614,769,-650,784,-1134
217,-1854,577,752,-448,1113,-72
218,-1786,652,689,-169,1293,1327
219,-1630,817,609,73,1249,2394
220,-1458,1039,559,138,943,2735
221,-1261,1062,506,6,456,2732
222,-967,880,448,-144,-74,2799
223,-619,650,367,-172,-542,3009
224,-255,505,287,-64,-898,3254
225,29,520,248,78,-1151,3201
226,235,527,227,163,-1326,2963
227,509,339,193,261,-1406,3352
228,942,71,134,461,-1409,4191
229,1326,2,91,687,-1396,4292
230,1514,97,54,824,-1343,3657
231,1772,95,-7,888,-1214,3735
232,2255,-30,-78,909,-977,4260
233,2659,-43,-115,863,-644,4359
234,2642,22,-97,724,-211,3759
235,2516,-101,-98,553,231,3853
236,2569,-355,-88,428,541,4926
237,2595,-424,-41,310,758,5119
238,2448,-465,29,72,966,4140
239,2298,-812,70,-207,1148,3774
240,2246,-1259,108,-313,1203,4729
241,2268,-1471,167,-317,1106,5239
242,2255,-1503,218,-416,949,4191
243,2152,-1568,241,-601,896,2751
244,2095,-1991,271,-722,951,2925
245,2132,-2497,320,-604,963,4149
246,2085,-2420,390,-330,858,4131
247,1975,-2136,453,-248,685,2907
248,1874,-2188,472,-371,507,2223
249,1769,-2351,461,-426,271,2624
250,1761,-2244,498,-315,-101,2608
251,1869,-1904,624,-214,-516,1307
252,2012,-1690,701,-261,-827,169
253,2197,-1749,699,-355,-1008,177
254,2492,-1770,730,-299,-1086,243
255,2787,-1581,822,-136,-1030,-451
256,3020,-1577,868,-73,-802,-1281
257,3187,-1845,785,-70,-443,-1609
258,3224,-2001,689,38,-51,-1899
259,3149,-1965,614,197,305,-2654
260,2966,-1830,548,246,602,-3341
261,2753,-1891,489,179,790,-3492
262,2576,-2110,478,178,821,-3250
263,2377,-2184,484,311,668,-3378
264,2219,-2103,445,488,339,-3702
265,2157,-1778,382,655,-69,-3915
266,2184,-1289,335,686,-441,-4164
267,2321,-1041,265,516,-685,-4104
268,2449,-1046,190,314,-755,-4076
269,2505,-1002,144,199,-698,-4348
270,2544,-717,99,110,-560,-4626
271,2554,-425,67,-76,-290,-4708
272,2447,-336,38,-334,122,-4671
273,2209,-371,20,-531,548,-4555
274,1944,-398,22,-610,892,-4282
275,1752,-471,37,-573,1148,-3991
276,1528,-357,78,-446,1308,-3786
277,1151,-117,140,-351,1332,-3720
278,842,27,215,-321,1149,-3643
279,706,97,273,-268,816,-3473
280,575,162,292,-132,485,-3315
281,360,389,346,46,223,-3252
282,88,716,415,146,16,-3224
283,-249,933,482,132,-129,-3113
284,-642,951,550,87,-199,-2889
285,-1104,880,590,118,-216,-2586
286,-1532,977,630,209,-206,-2307
287,-1802,1161,658,234,-157,-1812
288,-1884,1195,674,154,-57,-956
289,-1788,1124,660,67,54,-71
290,-1561,1082,629,18,131,651
291,-1296,1047,579,-22,147,1275
292,-1033,926,522,-51,94,1871
293,-802,749,442,-3,-14,2425
294,-617,632,354,138,-178,2884
295,-426,687,297,266,-408,3052
296,-232,698,279,266,-675,3093
297,2,466,223,220,-926,3372
298,263,192,170,278,-1118,3701
299,541,69,132,428,-1240,3774
300,835,-25,118,556,-1317,3828
301,1117,-213,65,682,-1362,4094
302,1471,-237,23,843,-1349,4353
303,1880,-207,7,894,-1200,4254
304,2157,-359,-27,837,-894,4006
305,2232,-578,-75,855,-528,4306
306,2347,-754,-106,966,-155,4814
307,2466,-998,-143,1057,188,4990
308,2408,-1137,-168,1097,377,5057
309,2273,-1180,-127,1037,414,5211
310,2232,-1446,-75,847,434,5320
311,2265,-2051,-99,646,461,5388
312,2380,-2624,-132,558,400,5975
313,2550,-2860,-87,513,275,6444
314,2778,-2890,3,360,247,5402
315,2911,-2691,56,72,412,3590
316,2877,-2429,46,-312,722,2637
317,2758,-2301,21,-673,1107,2514
318,2574,-2291,84,-873,1474,2127
319,2354,-2209,234,-897,1697,1270
320,2130,-2056,455,-842,1714,813
321,1947,-1986,663,-729,1523,778
322,1833,-1858,848,-534,1153,495
323,1820,-1702,1006,-334,652,-71
324,1948,-1672,1092,-207,97,-652
325,2207,-1756,1065,-113,-414,-1309
326,2548,-1892,939,21,-787,-1958
327,2915,-1968,765,204,-947,-2616
328,3145,-1867,617,348,-865,-3329
329,3245,-1785,473,375,-587,-3712
330,3260,-1786,361,337,-208,-3786
331,3174,-1797,306,268,159,-3827
332,3048,-1845,270,191,439,-3905
333,2898,-1883,230,158,607,-4098
334,2703,-1791,185,181,658,-4164
335,2537,-1568,175,202,603,-4140
