sequence,ax,ay,az,gx,gy,gz
0,2664,-15,-300,854,-154,3999
1,2795,-59,-263,525,95,3968
2,2762,-415,-240,163,331,3759
3,2662,-875,-231,-2,539,3855
4,2553,-1027,-164,77,665,4571
5,2494,-1040,-52,124,686,4894
6,2444,-1191,30,-11,661,4484
7,2428,-1579,60,-199,618,4412
8,2462,-1952,60,-252,539,4740
9,2497,-2099,103,-203,425,4637
10,2458,-1987,168,-188,326,3774
11,2404,-1919,194,-294,265,3079
12,2394,-1961,221,-430,210,2927
13,2406,-2011,284,-495,139,2596
14,2433,-1984,392,-487,78,1943
15,2438,-1955,508,-413,56,1273
16,2431,-1962,577,-259,59,789
17,2416,-1873,595,-34,50,514
18,2444,-1708,606,170,11,314
19,2511,-1556,617,257,-42,-134
20,2567,-1565,579,210,-84,-790
21,2600,-1756,537,106,-116,-1428
22,2628,-2096,462,95,-147,-1865
23,2666,-2245,382,273,-175,-2310
24,2647,-1983,339,479,-198,-2992
25,2591,-1649,283,483,-222,-3639
26,2572,-1564,200,321,-261,-3768
27,2607,-1639,144,193,-319,-3713
28,2690,-1619,106,181,-349,-4035
29,2756,-1447,72,199,-320,-4381
30,2782,-1178,32,149,-236,-4435
31,2772,-951,-15,3,-110,-4335
32,2660,-787,-62,-202,51,-4387
33,2467,-668,-91,-422,215,-4565
34,2288,-639,-109,-596,338,-4491
35,2181,-629,-102,-653,393,-4123
36,2020,-476,-73,-619,405,-4020
37,1860,-300,-56,-600,391,-4163
38,1756,-229,-50,-609,361,-4066
39,1581,-222,-47,-550,283,-3696
40,1396,-27,-15,-401,118,-3715
41,1303,232,25,-317,-64,-3845
42,1297,310,45,-319,-158,-3836
43,1262,301,73,-267,-149,-3558
44,1132,375,99,-116,-93,-3092
45,931,701,156,5,-42,-2944
46,661,1122,227,-87,-43,-3086
47,356,1332,299,-398,-72,-3424
48,77,1219,354,-742,-75,-3678
49,-230,1013,448,-929,-24,-3551
50,-590,903,599,-940,100,-3198
51,-1000,885,746,-903,294,-2825
52,-1420,844,852,-907,505,-2396
53,-1724,769,919,-920,694,-1828
54,-1900,641,936,-855,857,-985
55,-1952,546,900,-637,973,138
56,-1858,597,837,-302,980,1337
57,-1687,762,762,-16,829,2208
58,-1486,858,687,111,526,2513
59,-1248,800,607,141,131,2610
60,-937,685,544,180,-262,2784
61,-614,552,471,277,-573,3100
62,-290,468,386,419,-797,3517
63,22,442,325,517,-979,3504
64,308,346,260,566,-1103,3220
65,539,175,194,702,-1106,3581
66,907,94,134,948,-1033,4220
67,1347,219,102,1105,-919,4178
68,1639,246,69,1071,-746,4080
69,1854,84,14,1008,-604,4447
70,2239,-37,-42,987,-508,4297
71,2615,-7,-52,893,-343,3797
72,2684,-97,-54,725,-15,3698
73,2704,-370,-78,640,314,4357
74,2798,-477,-55,624,459,4534
75,2714,-386,4,483,556,3725
76,2453,-437,62,253,709,3904
77,2351,-872,112,112,835,4995
78,2528,-1362,170,145,840,5521
79,2554,-1374,293,208,785,4755
80,2399,-1162,387,77,773,4030
81,2235,-1358,397,-209,799,4183
82,2162,-1833,340,-416,834,4679
83,2092,-2156,321,-419,851,5290
84,2002,-2205,344,-359,826,5325
85,1965,-2191,447,-400,762,4306
86,1976,-2259,556,-553,700,2953
87,1911,-2377,553,-686,640,2305
88,1806,-2541,499,-657,514,2249
89,1750,-2453,576,-439,287,1719
90,1760,-2093,722,-224,-24,660
91,1816,-1852,822,-194,-352,-21
92,1963,-1863,870,-271,-648,-315
93,2172,-1986,867,-263,-899,-931
94,2387,-2073,839,-138,-1071,-1963
95,2582,-2020,741,9,-1131,-2535
96,2703,-1871,642,98,-1081,-2861
97,2786,-1839,557,83,-956,-3438
98,2837,-1884,458,11,-799,-4000
99,2829,-1977,354,-56,-646,-4313
100,2742,-1990,235,-63,-508,-4353
101,2588,-1752,166,-17,-401,-4049
102,2478,-1555,126,-28,-368,-3957
103,2485,-1513,62,-117,-417,-4172
104,2546,-1470,5,-219,-505,-4257
105,2611,-1358,-64,-286,-565,-4170
106,2639,-1128,-128,-341,-571,-4065
107,2579,-860,-176,-431,-514,-4420
108,2448,-555,-199,-561,-373,-4835
109,2266,-371,-212,-697,-146,-4689
110,2081,-350,-232,-777,108,-4381
111,1929,-335,-224,-778,293,-4011
112,1767,-187,-201,-728,381,-3806
113,1524,118,-156,-734,384,-4007
114,1361,378,-111,-886,319,-4219
115,1235,455,-67,-1105,245,-3968
116,1091,325,-50,-1231,189,-3670
117,1015,200,-11,-1154,105,-3267
118,969,237,33,-921,-7,-2922
119,771,587,122,-691,-124,-3144
120,495,960,199,-628,-247,-3481
121,302,1090,279,-700,-329,-3406
122,151,1052,396,-776,-279,-3324
123,-82,942,528,-797,-91,-3150
124,-405,872,660,-762,202,-2865
125,-770,844,760,-702,565,-2443
126,-1176,869,795,-669,927,-1818
127,-1492,971,798,-691,1193,-1159
128,-1662,990,789,-763,1317,-538
129,-1707,875,753,-784,1319,189
130,-1621,739,714,-654,1217,1108
131,-1471,710,673,-400,1024,1889
132,-1363,815,633,-145,734,2320
133,-1237,951,609,0,341,2563
134,-1017,950,586,19,-98,2772
135,-726,784,555,2,-502,2955
136,-405,546,516,67,-839,3171
137,-93,354,443,246,-1120,3358
138,150,341,390,474,-1328,3329
139,450,300,330,660,-1464,3398
140,901,142,239,835,-1521,3839
141,1315,121,176,1014,-1508,4032
142,1681,139,110,1112,-1437,3736
143,1999,92,17,1175,-1273,3606
144,2321,74,-39,1239,-1011,3832
145,2785,-6,-100,1235,-697,4127
146,2962,58,-140,1161,-293,3844
147,2787,150,-143,980,134,3363
148,2531,98,-116,774,464,3667
149,2473,-130,-93,595,689,4210
150,2558,-383,-71,416,842,4605
151,2459,-577,-26,257,951,4453
152,2225,-800,19,104,980,4178
153,2020,-1035,50,26,908,4751
154,1926,-1290,106,-20,780,5690
155,1845,-1549,128,-117,634,6014
156,1741,-1763,134,-268,466,5962
157,1665,-2036,119,-438,318,5743
158,1651,-2335,101,-595,235,5441
159,1640,-2477,96,-734,209,4999
160,1634,-2457,100,-855,224,4188
161,1629,-2608,150,-966,294,3380
162,1604,-2899,192,-970,388,2742
163,1582,-2989,288,-767,443,1998
164,1598,-2866,464,-474,421,1286
165,1645,-2685,619,-221,315,776
166,1725,-2473,730,-67,149,252
167,1847,-2314,825,-48,-39,-492
168,1991,-2238,850,-111,-221,-1488
169,2112,-2291,781,-148,-375,-2415
170,2214,-2503,664,-83,-454,-2937
171,2312,-2571,520,119,-427,-3228
172,2419,-2476,392,373,-294,-3469
173,2553,-2376,292,540,-77,-3824
174,2602,-2254,209,521,183,-4264
175,2517,-2199,126,375,448,-4570
176,2435,-2177,93,248,678,-4260
177,2370,-2130,94,255,841,-3852
178,2295,-1922,138,337,929,-3958
