sequence,ax,ay,az,gx,gy,gz
0,602,1298,-80,35,708,399
1,463,1225,-70,31,640,391
2,402,1331,-30,28,521,223
3,382,1419,-17,-77,386,209
4,405,1397,-17,-233,244,314
5,429,1357,-18,-339,107,211
6,449,1424,7,-389,-15,-106
7,462,1447,46,-459,-106,-296
8,463,1316,67,-553,-132,-355
9,461,1156,46,-560,-95,-427
10,471,1119,2,-420,-10,-422
11,457,1228,-7,-221,117,-284
12,457,1411,0,-77,271,-50
13,463,1557,17,-32,416,178
14,457,1600,8,-63,515,198
15,352,1504,-25,-93,553,23
16,219,1456,-30,-119,549,-99
17,148,1479,-51,-187,496,89
18,138,1486,-93,-256,358,293
19,153,1455,-78,-311,136,361
20,122,1324,-21,-382,-103,188
21,60,1061,18,-412,-308,-153
22,-17,820,50,-315,-479,-367
23,-17,721,96,-123,-609,-216
24,74,731,123,46,-674,56
25,73,665,134,117,-659,66
26,82,696,128,137,-607,-158
27,140,724,130,226,-612,-129
28,218,756,147,364,-657,-9
29,338,888,127,470,-655,-278
30,446,1097,86,508,-555,-624
31,562,1405,60,467,-377,-657
32,667,1539,42,394,-202,-201
33,715,1578,37,337,-48,-25
34,748,1835,39,275,116,-543
35,743,2095,50,136,281,-813
36,797,2196,27,-86,417,-514
37,821,2141,-61,-231,507,-323
38,810,2315,-112,-250,555,-589
39,762,2630,-105,-285,595,-823
40,689,2832,-37,-453,651,-627
41,558,2760,4,-679,682,-241
42,433,2590,25,-822,619,-33
43,396,2548,77,-849,450,-19
44,404,2588,140,-825,236,-130
45,417,2606,196,-817,40,-311
46,465,2607,205,-851,-122,-188
47,548,2636,215,-878,-253,38
48,662,2696,279,-936,-336,-80
49,696,2625,308,-1027,-359,-477
50,764,2608,398,-1027,-350,-680
51,747,2339,400,-807,-353,-499
52,631,2195,366,-387,-340,-856
53,633,2585,437,-93,-204,-1248
54,566,2756,430,10,-13,-365
55,444,2737,390,87,187,236
56,319,2747,355,184,311,386
57,201,2688,342,291,304,416
58,110,2563,333,400,207,469
59,139,2591,322,543,53,668
60,272,2777,321,693,-120,860
61,446,2994,334,786,-269,848
62,584,2996,275,839,-361,639
63,699,2865,181,960,-410,529
64,793,2772,120,1143,-430,540
65,837,2699,70,1283,-412,421
66,815,2557,29,1341,-362,259
67,822,2388,-13,1373,-302,335
68,861,2251,-62,1394,-240,542
69,928,2204,-106,1399,-161,592
70,965,2208,-107,1345,-51,496
71,930,2195,-88,1200,105,267
72,839,2153,-86,995,281,112
73,764,2056,-132,813,409,300
74,703,1934,-191,712,485,523
75,685,1920,-216,605,556,522
76,614,1851,-229,409,635,415
77,485,1728,-235,173,681,295
78,405,1635,-209,-32,642,348
79,355,1492,-170,-188,507,553
80,306,1319,-152,-296,312,516
81,289,1250,-158,-375,109,128
82,360,1274,-176,-456,-72,-138
83,460,1284,-185,-538,-191,-118
84,522,1253,-217,-596,-224,-137
85,540,1226,-246,-610,-189,-331
86,537,1229,-262,-591,-133,-363
87,552,1220,-251,-540,-76,-158
88,574,1250,-208,-472,-15,35
89,561,1282,-154,-451,74,38
90,476,1233,-172,-476,194,-38
91,396,1136,-239,-456,280,20
92,366,1087,-255,-375,305,115
93,325,1118,-251,-283,324,-88
94,277,1135,-249,-225,344,-293
95,231,1064,-223,-153,317,-68
96,203,1010,-206,-39,264,56
97,174,1020,-218,84,211,-147
98,129,1065,-229,189,151,-188
99,103,1092,-261,258,65,4
