sequence,ax,ay,az,gx,gy,gz
0,-1060,118,247,432,-986,1145
1,-937,115,166,402,-1223,811
2,-820,245,106,382,-1386,179
3,-651,452,90,320,-1483,-314
4,-414,590,115,223,-1519,-600
5,-237,637,133,146,-1444,-801
6,-215,576,84,72,-1234,-768
7,-225,475,49,0,-942,-614
8,-235,425,47,-57,-609,-629
9,-299,403,52,-117,-273,-802
10,-378,380,68,-191,63,-924
11,-476,328,74,-273,401,-974
12,-591,244,63,-337,730,-1023
13,-751,97,42,-377,1044,-1007
14,-978,-52,19,-394,1328,-921
15,-1221,-201,-13,-383,1543,-896
16,-1435,-376,-30,-338,1658,-934
17,-1669,-545,-23,-266,1690,-995
18,-1914,-653,-5,-173,1661,-1153
19,-2104,-683,31,-71,1567,-1344
20,-2250,-710,54,7,1407,-1367
21,-2372,-762,56,29,1225,-1260
22,-2466,-833,78,15,1019,-1297
23,-2461,-918,97,-8,764,-1581
24,-2465,-1026,71,-22,525,-1964
25,-2526,-1088,35,-29,361,-2181
26,-2484,-1051,54,-26,251,-2191
27,-2305,-1020,129,-37,199,-2113
28,-2324,-1116,83,-73,253,-1999
29,-2368,-1213,54,-118,362,-1840
30,-2375,-1265,65,-132,457,-1922
31,-2458,-1345,20,-119,544,-2008
32,-2486,-1417,4,-116,627,-1745
33,-2496,-1509,16,-96,688,-1519
34,-2611,-1603,-22,-26,710,-1511
35,-2714,-1647,-55,64,686,-1511
36,-2761,-1638,-45,133,631,-1400
37,-2745,-1559,-7,179,513,-1335
38,-2641,-1456,41,196,336,-1397
39,-2569,-1468,22,162,206,-1457
40,-2591,-1563,-47,97,175,-1385
41,-2623,-1587,-97,62,156,-1271
42,-2501,-1503,-32,59,40,-1200
43,-2294,-1500,41,52,-151,-1170
44,-2163,-1613,36,13,-295,-1022
45,-2207,-1683,-25,-9,-316,-1060
46,-2291,-1598,-32,23,-283,-1364
47,-2242,-1412,71,63,-298,-1421
48,-2284,-1318,90,96,-357,-1132
49,-2427,-1282,45,158,-382,-897
50,-2563,-1228,12,262,-321,-803
51,-2690,-1139,-3,369,-181,-570
52,-2799,-1028,-22,437,12,-157
53,-2852,-888,-33,447,184,258
