sequence,ax,ay,az,gx,gy,gz
0,1032,2080,-78,667,-392,520
1,1078,2166,-13,634,-284,549
2,973,2086,12,424,-131,409
3,856,1775,-25,193,-41,325
4,820,1511,-56,92,-2,332
5,830,1476,-52,85,39,308
6,758,1495,-5,71,72,280
7,624,1403,-3,-2,71,257
8,535,1304,-38,-93,58,160
9,567,1216,-65,-182,80,167
10,614,1136,-77,-217,150,274
11,610,1188,-135,-214,250,51
12,530,1280,-228,-237,348,-53
13,466,1269,-254,-292,392,278
14,477,1198,-208,-357,399,163
15,495,1138,-98,-451,468,-345
16,386,972,-6,-562,623,-499
17,178,736,-1,-570,764,-412
18,-19,643,17,-403,807,-384
19,-126,693,-8,-167,769,-302
20,-125,817,-70,51,679,-77
21,-100,985,-145,247,519,139
22,26,1258,-197,372,303,124
23,136,1423,-218,345,117,70
24,141,1379,-220,233,-22,-26
25,82,1237,-178,162,-147,-187
26,-7,1041,-88,137,-261,-222
27,-62,840,-90,172,-355,-162
28,-57,692,-222,350,-481,-62
29,51,865,-240,598,-607,-14
30,212,1213,-130,667,-632,7
31,248,1315,-47,537,-563,8
32,177,1180,-55,377,-485,-127
33,153,1061,-167,308,-465,-302
34,275,1179,-231,357,-509,-295
35,453,1437,-199,405,-519,-97
36,496,1583,-236,324,-435,-80
37,505,1764,-354,181,-319,-319
38,587,1907,-427,72,-261,-231
39,699,1985,-432,-56,-217,-127
40,734,2134,-374,-229,-127,-452
41,708,2167,-379,-397,-28,-648
42,755,2220,-415,-521,56,-575
43,836,2427,-408,-627,170,-558
44,783,2502,-368,-748,308,-477
45,614,2440,-309,-886,420,-376
46,484,2448,-215,-992,449,-327
47,405,2464,-127,-1063,395,-327
48,342,2423,-43,-1127,299,-335
49,358,2432,54,-1219,200,-337
50,423,2523,181,-1326,103,-333
51,447,2562,284,-1402,10,-359
52,454,2455,373,-1437,-67,-435
53,474,2320,432,-1426,-102,-521
54,471,2232,489,-1364,-83,-485
55,465,2241,527,-1255,-18,-435
56,490,2298,553,-1101,75,-379
57,531,2411,595,-933,198,-287
58,529,2522,624,-758,336,-220
59,504,2651,653,-529,422,-105
60,476,2748,659,-207,404,-14
61,417,2815,619,147,321,-36
62,345,2899,572,390,246,-3
63,243,2881,532,451,225,41
64,87,2744,472,419,225,70
65,-78,2631,400,456,156,290
66,-135,2690,376,594,-30,496
67,-60,2849,346,716,-279,565
68,93,2984,309,770,-517,664
69,232,3048,277,790,-710,808
70,385,3098,266,816,-865,864
71,589,3094,238,828,-952,772
72,744,2992,191,818,-949,524
73,738,2669,118,842,-895,360
74,739,2352,20,960,-835,499
75,831,2218,-45,1126,-765,766
76,940,2297,-38,1208,-658,812
77,1001,2343,-21,1107,-505,624
78,1035,2181,-5,894,-322,564
79,1004,1904,-5,698,-114,557
80,910,1679,-13,556,111,370
81,795,1525,0,427,317,261
82,713,1434,0,343,443,315
83,631,1398,-20,351,456,309
84,579,1457,-56,355,417,200
85,584,1554,-109,256,397,242
86,599,1606,-95,54,404,387
87,617,1555,-69,-194,430,394
88,596,1398,-63,-397,458,213
89,551,1289,-64,-499,485,-57
90,529,1269,-37,-529,487,-90
91,513,1212,2,-552,483,25
92,513,1146,2,-575,516,-184
93,523,1116,13,-562,587,-383
94,502,1058,-7,-517,697,-294
95,440,1044,-44,-435,846,-278
96,329,1065,-48,-342,997,-359
97,204,1070,-29,-269,1113,-258
98,94,1033,-9,-190,1144,-33
99,-36,933,22,-61,1065,38
100,-172,831,28,116,882,-39
101,-223,850,-47,344,612,-151
102,-146,994,-106,614,292,-65
103,-49,1163,-120,797,21,113
104,12,1285,-97,817,-146,24
105,-60,1197,-196,715,-252,-114
106,-127,1069,-409,643,-403,-100
107,-124,1076,-425,686,-639,139
108,-69,1177,-327,637,-845,227
109,13,1243,-272,418,-955,72
110,51,1178,-250,175,-1004,-35
111,54,995,-228,77,-1050,-56
112,98,854,-250,134,-1104,-130
113,170,949,-193,278,-1129,-238
114,277,1204,-136,375,-1078,-186
115,454,1411,-207,421,-983,79
116,664,1540,-296,460,-875,422
117,835,1726,-330,474,-727,329
118,905,2034,-375,401,-506,-199
119,930,2266,-530,252,-259,-322
120,986,2343,-657,126,-49,182
121,1042,2408,-610,6,167,540
122,998,2539,-443,-227,448,161
123,820,2495,-326,-545,686,-324
124,617,2228,-323,-730,752,-331
125,522,2073,-293,-664,672,-128
126,477,2095,-230,-499,537,51
127,531,2364,-156,-425,390,28
128,689,2739,-78,-526,279,-132
129,807,2837,-49,-775,236,-203
130,796,2602,-42,-1104,261,-299
131,710,2242,-31,-1360,286,-455
132,677,2172,38,-1407,255,-625
133,662,2315,125,-1307,187,-816
134,657,2351,156,-1227,136,-899
135,709,2311,168,-1169,148,-716
136,757,2331,202,-1090,249,-424
137,717,2424,258,-996,393,-397
138,633,2563,311,-889,503,-454
139,599,2736,360,-691,522,-278
140,576,2912,388,-339,440,-13
141,503,3034,409,51,312,174
142,426,3053,388,305,186,303
143,367,3025,363,414,76,233
144,356,2959,352,430,-14,252
145,376,2853,297,458,-128,423
146,396,2804,239,557,-291,394
147,362,2759,191,669,-472,287
148,380,2703,142,773,-651,430
149,480,2679,95,888,-813,746
150,624,2687,73,969,-932,942
151,790,2746,55,962,-1012,757
152,885,2655,23,826,-1036,465
153,867,2320,-47,656,-1018,305
154,829,2109,-59,621,-1004,263
155,846,2043,-37,626,-989,282
156,885,1879,-70,571,-930,248
157,928,1709,-145,525,-799,136
158,981,1669,-157,526,-605,128
159,981,1654,-124,493,-355,101
160,906,1608,-99,393,-65,-33
161,738,1439,-123,312,204,52
162,583,1321,-162,389,361,359
163,616,1435,-201,552,413,493
164,673,1686,-227,602,473,107
165,608,1867,-202,454,586,-210
166,486,1862,-169,155,713,-115
167,354,1647,-158,-131,784,-70
168,225,1378,-180,-253,753,-187
169,148,1255,-212,-181,652,-260
170,190,1394,-218,-32,548,-154
171,322,1579,-186,22,482,43
172,401,1601,-166,-52,487,-26
173,336,1504,-169,-151,534,-251
174,208,1363,-146,-204,562,-159
175,86,1217,-173,-187,496,188
176,110,1253,-247,-94,331,294
177,248,1446,-234,-26,164,201
178,274,1449,-201,-111,107,40
179,136,1234,-268,-278,144,-277
180,-46,1066,-357,-348,137,-415
181,-100,1017,-360,-242,-4,-80
182,-74,1047,-302,-80,-204,129
183,-41,1120,-270,-4,-349,-188
184,-47,1099,-336,9,-446,-346
185,-10,1059,-400,53,-542,-96
186,85,1106,-348,108,-619,202
187,138,1112,-212,92,-649,209
188,62,899,-150,6,-651,-37
189,-34,630,-282,10,-693,-235
190,28,644,-377,224,-785,-212
191,203,908,-300,470,-831,71
192,343,1186,-152,519,-757,167
193,374,1240,-160,402,-606,-141
194,347,1178,-372,330,-480,-405
195,447,1469,-518,393,-375,-461
196,636,1907,-449,415,-225,-83
197,815,2079,-396,229,-16,238
198,812,2023,-507,-21,184,-155
199,772,2181,-558,-196,334,-703
200,731,2384,-474,-370,497,-663
201,636,2372,-356,-606,677,-322
202,508,2312,-260,-825,817,-412
203,367,2307,-169,-976,863,-674
204,218,2241,-123,-1048,804,-671
205,144,2343,-38,-1065,677,-548
206,148,2526,52,-1083,503,-387
207,169,2533,91,-1131,283,-130
208,254,2486,127,-1192,52,-8
209,374,2555,201,-1252,-134,-187
210,433,2611,299,-1320,-254,-489
211,441,2523,389,-1386,-319,-509
212,485,2381,459,-1389,-341,-397
213,538,2301,512,-1281,-319,-491
214,577,2329,555,-1122,-240,-602
215,613,2368,592,-1000,-90,-485
